eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
we have to buy it from abroad.,wir müssen das vom ausland kaufen.,we have to buy it from abroad .,<sos> wir mussen das vom ausland kaufen .,wir mussen das vom ausland kaufen . <eos>,8,8
the judge condemned him to death.,der richter hat ihn zum tode verurteilt.,the judge condemned him to death .,<sos> der richter hat ihn zum tode verurteilt .,der richter hat ihn zum tode verurteilt . <eos>,7,9
fish'n'chips is the most famous english food.,„fish ’n’ chips“ ist das bekannteste englische gericht.,fish'n'chips is the most famous english food .,<sos> fish n chips ist das bekannteste englische gericht .,fish n chips ist das bekannteste englische gericht . <eos>,8,10
his son-in-law was transferred to an overseas branch.,sein schwiegersohn wurde in eine ausländische filiale versetzt.,his son - in - law was transferred to an overseas branch .,<sos> sein schwiegersohn wurde in eine auslandische filiale versetzt .,sein schwiegersohn wurde in eine auslandische filiale versetzt . <eos>,13,10
i thought you came to see tom.,"ich dachte, du wärst gekommen, um tom zu sehen.",i thought you came to see tom .,"<sos> ich dachte , du warst gekommen , um tom zu sehen .","ich dachte , du warst gekommen , um tom zu sehen . <eos>",8,13
both stories are true.,beide geschichten sind wahr.,both stories are true .,<sos> beide geschichten sind wahr .,beide geschichten sind wahr . <eos>,5,6
my job is easy and i have a lot of free time.,"meine arbeit ist leicht, und ich habe viel freizeit.",my job is easy and i have a lot of free time .,"<sos> meine arbeit ist leicht , und ich habe viel freizeit .","meine arbeit ist leicht , und ich habe viel freizeit . <eos>",13,12
did you carry out your plan?,haben sie ihren plan ausgeführt?,did you carry out your plan ?,<sos> haben sie ihren plan ausgefuhrt ?,haben sie ihren plan ausgefuhrt ? <eos>,7,7
would you excuse me?,würden sie mich entschuldigen?,would you excuse me ?,<sos> wurden sie mich entschuldigen ?,wurden sie mich entschuldigen ? <eos>,5,6
i postponed the event.,ich verschob die veranstaltung.,i postponed the event .,<sos> ich verschob die veranstaltung .,ich verschob die veranstaltung . <eos>,5,6
i feel like doing that today.,ich hätte heute lust dazu.,i feel like doing that today .,<sos> ich hatte heute lust dazu .,ich hatte heute lust dazu . <eos>,7,7
tom doesn't speak french.,tom spricht kein französisch.,tom does not speak french .,<sos> tom spricht kein franzosisch .,tom spricht kein franzosisch . <eos>,6,6
this tv program is really quite interesting.,diese fernsehsendung ist recht interessant.,this tv program is really quite interesting .,<sos> diese fernsehsendung ist recht interessant .,diese fernsehsendung ist recht interessant . <eos>,8,7
what girl are you talking about?,von welchem mädchen redest du?,what girl are you talking about ?,<sos> von welchem madchen redest du ?,von welchem madchen redest du ? <eos>,7,7
tom never could hide a secret from mary.,tom konnte nie ein geheimnis vor maria verbergen.,tom never could hide a secret from mary .,<sos> tom konnte nie ein geheimnis vor maria verbergen .,tom konnte nie ein geheimnis vor maria verbergen . <eos>,9,10
do you know what tom was wearing?,"wissen sie, was tom anhatte?",do you know what tom was wearing ?,"<sos> wissen sie , was tom anhatte ?","wissen sie , was tom anhatte ? <eos>",8,8
i'm still your boss.,ich bin immer noch ihr chef.,i am still your boss .,<sos> ich bin immer noch ihr chef .,ich bin immer noch ihr chef . <eos>,6,8
they formed a new government.,sie bildeten eine neue regierung.,they formed a new government .,<sos> sie bildeten eine neue regierung .,sie bildeten eine neue regierung . <eos>,6,7
my french isn't that good.,mein französisch ist nicht so gut.,my french is not that good .,<sos> mein franzosisch ist nicht so gut .,mein franzosisch ist nicht so gut . <eos>,7,8
many people lost their homes after the earthquake.,viele menschen verloren durch das erdbeben ihr zuhause.,many people lost their homes after the earthquake .,<sos> viele menschen verloren durch das erdbeben ihr zuhause .,viele menschen verloren durch das erdbeben ihr zuhause . <eos>,9,10
the coat is on the chair.,der mantel liegt auf dem stuhl.,the coat is on the chair .,<sos> der mantel liegt auf dem stuhl .,der mantel liegt auf dem stuhl . <eos>,7,8
you're supposed to be working.,du solltest eigentlich arbeiten.,you are supposed to be working .,<sos> du solltest eigentlich arbeiten .,du solltest eigentlich arbeiten . <eos>,7,6
the scientist is conducting medical research.,der wissenschaftler betreibt medizinische forschung.,the scientist is conducting medical research .,<sos> der wissenschaftler betreibt medizinische forschung .,der wissenschaftler betreibt medizinische forschung . <eos>,7,7
i'll take it to tom.,ich bringe es tom.,i will take it to tom .,<sos> ich bringe es tom .,ich bringe es tom . <eos>,7,6
tom was great at that.,tom war großartig.,tom was great at that .,<sos> tom war groartig .,tom war groartig . <eos>,6,5
i'll get you some wine.,ich hole dir etwas wein.,i will get you some wine .,<sos> ich hole dir etwas wein .,ich hole dir etwas wein . <eos>,7,7
make your airplane reservations early since flights fill up quickly around christmas.,"bucht eure flüge frühzeitig, da diese um die weihnachtszeit herum schnell belegt sind.",make your airplane reservations early since flights fill up quickly around christmas .,"<sos> bucht eure fluge fruhzeitig , da diese um die weihnachtszeit herum schnell belegt sind .","bucht eure fluge fruhzeitig , da diese um die weihnachtszeit herum schnell belegt sind . <eos>",13,16
he can run fast.,er kann schnell laufen.,he can run fast .,<sos> er kann schnell laufen .,er kann schnell laufen . <eos>,5,6
tom wants to leave.,tom will gehen.,tom wants to leave .,<sos> tom will gehen .,tom will gehen . <eos>,5,5
i answered the question.,ich beantwortete die frage.,i answered the question .,<sos> ich beantwortete die frage .,ich beantwortete die frage . <eos>,5,6
they often make fun of the boss.,sie machen sich oft über den chef lustig.,they often make fun of the boss .,<sos> sie machen sich oft uber den chef lustig .,sie machen sich oft uber den chef lustig . <eos>,8,10
the new film was a great success.,der neue film war ein großer erfolg.,the new film was a great success .,<sos> der neue film war ein groer erfolg .,der neue film war ein groer erfolg . <eos>,8,9
thanks for coming.,"danke, dass ihr gekommen seid!",thanks for coming .,"<sos> danke , dass ihr gekommen seid !","danke , dass ihr gekommen seid ! <eos>",4,8
i usually eat less than my boyfriend.,ich esse gewöhnlich weniger als mein freund.,i usually eat less than my boyfriend .,<sos> ich esse gewohnlich weniger als mein freund .,ich esse gewohnlich weniger als mein freund . <eos>,8,9
tom died on monday morning.,tom ist am montagmorgen gestorben.,tom died on monday morning .,<sos> tom ist am montagmorgen gestorben .,tom ist am montagmorgen gestorben . <eos>,6,7
tom is a fool.,tom ist ein narr.,tom is a fool .,<sos> tom ist ein narr .,tom ist ein narr . <eos>,5,6
i bought that book for tom.,ich habe das buch da für tom gekauft.,i bought that book for tom .,<sos> ich habe das buch da fur tom gekauft .,ich habe das buch da fur tom gekauft . <eos>,7,10
who succeeded?,wer war erfolgreich?,who succeeded ?,<sos> wer war erfolgreich ?,wer war erfolgreich ? <eos>,3,5
tom likes wine.,tom mag wein.,tom likes wine .,<sos> tom mag wein .,tom mag wein . <eos>,4,5
can i see you again?,kann ich dich nochmal sehen?,can i see you again ?,<sos> kann ich dich nochmal sehen ?,kann ich dich nochmal sehen ? <eos>,6,7
"japan is, as it were, his second home.",japan ist sozusagen seine zweite heimat.,"japan is , as it were , his second home .",<sos> japan ist sozusagen seine zweite heimat .,japan ist sozusagen seine zweite heimat . <eos>,11,8
he eats around the clock.,er isst rund um die uhr.,he eats around the clock .,<sos> er isst rund um die uhr .,er isst rund um die uhr . <eos>,6,8
i'm not going if nobody else is going to go.,"wenn niemand mit will, gehe ich auch nicht.",i am not going if nobody else is going to go .,"<sos> wenn niemand mit will , gehe ich auch nicht .","wenn niemand mit will , gehe ich auch nicht . <eos>",12,11
he can scarcely write his name.,er kann kaum seinen namen schreiben.,he can scarcely write his name .,<sos> er kann kaum seinen namen schreiben .,er kann kaum seinen namen schreiben . <eos>,7,8
tom has been studying in his room since dinner.,tom lernt schon seit dem abendessen in diesem zimmer.,tom has been studying in his room since dinner .,<sos> tom lernt schon seit dem abendessen in diesem zimmer .,tom lernt schon seit dem abendessen in diesem zimmer . <eos>,10,11
tom started snoring.,tom fing an zu schnarchen.,tom started snoring .,<sos> tom fing an zu schnarchen .,tom fing an zu schnarchen . <eos>,4,7
"if it wasn't for modern medicine, i'd be dead right now.","gäbe es nicht die moderne medizin, wäre ich jetzt tot.","if it was not for modern medicine , i would be dead right now .","<sos> gabe es nicht die moderne medizin , ware ich jetzt tot .","gabe es nicht die moderne medizin , ware ich jetzt tot . <eos>",15,13
tom wants to know where you've been.,"tom möchte wissen, wo sie gewesen sind.",tom wants to know where you have been .,"<sos> tom mochte wissen , wo sie gewesen sind .","tom mochte wissen , wo sie gewesen sind . <eos>",9,10
there is no reason why you shouldn't do such a thing.,"es gibt keinen grund, warum du so etwas nicht machen solltest.",there is no reason why you should not do such a thing .,"<sos> es gibt keinen grund , warum du so etwas nicht machen solltest .","es gibt keinen grund , warum du so etwas nicht machen solltest . <eos>",13,14
can your mother drive a car?,kann deine mutter auto fahren?,can your mother drive a car ?,<sos> kann deine mutter auto fahren ?,kann deine mutter auto fahren ? <eos>,7,7
he is always cheerful.,er ist stets munter und fidel.,he is always cheerful .,<sos> er ist stets munter und fidel .,er ist stets munter und fidel . <eos>,5,8
the u.s. exports billions of dollars' worth of passenger airplanes.,die usa exportieren passagierflugzeuge im wert von mehreren milliarden dollar.,the you.s . exports billions of dollars ' worth of passenger airplanes .,<sos> die usa exportieren passagierflugzeuge im wert von mehreren milliarden dollar .,die usa exportieren passagierflugzeuge im wert von mehreren milliarden dollar . <eos>,13,12
tom was obviously cold.,tom fror offensichtlich.,tom was obviously cold .,<sos> tom fror offensichtlich .,tom fror offensichtlich . <eos>,5,5
he came out from behind the curtain.,er kam hinter dem vorhang hervor.,he came out from behind the curtain .,<sos> er kam hinter dem vorhang hervor .,er kam hinter dem vorhang hervor . <eos>,8,8
"i'd like you to meet my sister, mary.",darf ich dir meine schwester maria vorstellen?,"i would like you to meet my sister , mary .",<sos> darf ich dir meine schwester maria vorstellen ?,darf ich dir meine schwester maria vorstellen ? <eos>,11,9
she handed him his jacket.,sie gab ihm seine jacke.,she handed him his jacket .,<sos> sie gab ihm seine jacke .,sie gab ihm seine jacke . <eos>,6,7
come fishing with me.,kommen sie mit mir angeln.,come fishing with me .,<sos> kommen sie mit mir angeln .,kommen sie mit mir angeln . <eos>,5,7
what's going on up there?,was geht dort oben vor sich?,what is going on up there ?,<sos> was geht dort oben vor sich ?,was geht dort oben vor sich ? <eos>,7,8
what did you end up doing?,was haben sie letzten endes gemacht?,what did you end up doing ?,<sos> was haben sie letzten endes gemacht ?,was haben sie letzten endes gemacht ? <eos>,7,8
we share the housework.,wir teilen uns die hausarbeit.,we share the housework .,<sos> wir teilen uns die hausarbeit .,wir teilen uns die hausarbeit . <eos>,5,7
i smiled.,ich lächelte.,i smiled .,<sos> ich lachelte .,ich lachelte . <eos>,3,4
what's your name again?,wie heißt du nochmal?,what is your name again ?,<sos> wie heit du nochmal ?,wie heit du nochmal ? <eos>,6,6
someone ate all the cookies from the cookie jar.,jemand hat alle kekse aus der keksdose gegessen.,someone ate all the cookies from the cookie jar .,<sos> jemand hat alle kekse aus der keksdose gegessen .,jemand hat alle kekse aus der keksdose gegessen . <eos>,10,10
keep your voice down.,sprich leise!,keep your voice down .,<sos> sprich leise !,sprich leise ! <eos>,5,4
we went to boston.,wir fuhren nach boston.,we went to boston .,<sos> wir fuhren nach boston .,wir fuhren nach boston . <eos>,5,6
i wonder why they chose tom.,"ich frage mich, warum sie tom ausgesucht haben.",i wonder why they chose tom .,"<sos> ich frage mich , warum sie tom ausgesucht haben .","ich frage mich , warum sie tom ausgesucht haben . <eos>",7,11
tom knows i'm here.,"tom weiß, dass ich hier bin.",tom knows i am here .,"<sos> tom wei , dass ich hier bin .","tom wei , dass ich hier bin . <eos>",6,9
can you wiggle your ears?,kannst du mit den ohren wackeln?,can you wiggle your ears ?,<sos> kannst du mit den ohren wackeln ?,kannst du mit den ohren wackeln ? <eos>,6,8
the dress fits you very well.,der anzug steht dir sehr gut.,the dress fits you very well .,<sos> der anzug steht dir sehr gut .,der anzug steht dir sehr gut . <eos>,7,8
everybody is excited.,alle sind aufgeregt.,everybody is excited .,<sos> alle sind aufgeregt .,alle sind aufgeregt . <eos>,4,5
we have to stop it.,wir müssen damit aufhören.,we have to stop it .,<sos> wir mussen damit aufhoren .,wir mussen damit aufhoren . <eos>,6,6
the world is changing more and more quickly.,die welt ändert sich immer schneller.,the world is changing more and more quickly .,<sos> die welt andert sich immer schneller .,die welt andert sich immer schneller . <eos>,9,8
let's hope that common sense prevails.,"hoffen wir, dass die vernunft obsiegt.",let us hope that common sense prevails .,"<sos> hoffen wir , dass die vernunft obsiegt .","hoffen wir , dass die vernunft obsiegt . <eos>",8,9
the couple spent a lot of money on furnishing their house.,"das paar gab viel geld aus, um sein haus einzurichten.",the couple spent a lot of money on furnishing their house .,"<sos> das paar gab viel geld aus , um sein haus einzurichten .","das paar gab viel geld aus , um sein haus einzurichten . <eos>",12,13
do you prefer reading to cards?,ziehst du das lesen dem kartenspielen vor?,do you prefer reading to cards ?,<sos> ziehst du das lesen dem kartenspielen vor ?,ziehst du das lesen dem kartenspielen vor ? <eos>,7,9
they decided to leave extra food behind.,sie beschlossen das übrige essen zurückzulassen.,they decided to leave extra food behind .,<sos> sie beschlossen das ubrige essen zuruckzulassen .,sie beschlossen das ubrige essen zuruckzulassen . <eos>,8,8
"i've met her before, but i can't place her.","ich habe sie schon einmal getroffen, aber ich kann sie nicht einordnen.","i have met her before , but i can not place her .","<sos> ich habe sie schon einmal getroffen , aber ich kann sie nicht einordnen .","ich habe sie schon einmal getroffen , aber ich kann sie nicht einordnen . <eos>",13,15
my brother lives in a small village.,mein bruder lebt in einem kleinen dorf.,my brother lives in a small village .,<sos> mein bruder lebt in einem kleinen dorf .,mein bruder lebt in einem kleinen dorf . <eos>,8,9
that's my plan.,das ist mein plan.,that is my plan .,<sos> das ist mein plan .,das ist mein plan . <eos>,5,6
there are about 830 million obese people in the world.,es gibt etwa 830 millionen übergewichtige menschen auf der welt.,there are about 830 million obese people in the world .,<sos> es gibt etwa 830 millionen ubergewichtige menschen auf der welt .,es gibt etwa 830 millionen ubergewichtige menschen auf der welt . <eos>,11,12
don't tell tom what really happened.,"erzähl tom nicht, was wirklich passiert ist.",do not tell tom what really happened .,"<sos> erzahl tom nicht , was wirklich passiert ist .","erzahl tom nicht , was wirklich passiert ist . <eos>",8,10
you really know your stuff.,du weißt wirklich bescheid.,you really know your stuff .,<sos> du weit wirklich bescheid .,du weit wirklich bescheid . <eos>,6,6
that's a matter of opinion.,ansichtssache.,that is a matter of opinion .,<sos> ansichtssache .,ansichtssache . <eos>,7,3
he signed the check.,er unterzeichnete den scheck.,he signed the check .,<sos> er unterzeichnete den scheck .,er unterzeichnete den scheck . <eos>,5,6
tom couldn't walk.,tom konnte nicht gehen.,tom could not walk .,<sos> tom konnte nicht gehen .,tom konnte nicht gehen . <eos>,5,6
we'll see you.,wir werden dich treffen.,we will see you .,<sos> wir werden dich treffen .,wir werden dich treffen . <eos>,5,6
this boat is no longer seaworthy.,dieses boot ist nicht mehr seetüchtig.,this boat is no longer seaworthy .,<sos> dieses boot ist nicht mehr seetuchtig .,dieses boot ist nicht mehr seetuchtig . <eos>,7,8
i find just the memory of his overly polite patronizing manner really offensive.,ich finde allein die erinnerung an seine übertrieben höflich bevormundende art wirklich widerwärtig.,i find just the memory of his overly polite patronizing manner really offensive .,<sos> ich finde allein die erinnerung an seine ubertrieben hoflich bevormundende art wirklich widerwartig .,ich finde allein die erinnerung an seine ubertrieben hoflich bevormundende art wirklich widerwartig . <eos>,14,15
i'd like to go home.,ich würde gerne nach hause gehen.,i would like to go home .,<sos> ich wurde gerne nach hause gehen .,ich wurde gerne nach hause gehen . <eos>,7,8
tom is pretty good at it.,darin ist tom ziemlich gut.,tom is pretty good at it .,<sos> darin ist tom ziemlich gut .,darin ist tom ziemlich gut . <eos>,7,7
tom hasn't said a word all morning.,tom redete den ganzen morgen kein wort.,tom has not said a word all morning .,<sos> tom redete den ganzen morgen kein wort .,tom redete den ganzen morgen kein wort . <eos>,9,9
you're unusually quiet today.,du bist heute ungewöhnlich still.,you are unusually quiet today .,<sos> du bist heute ungewohnlich still .,du bist heute ungewohnlich still . <eos>,6,7
would you please lock the door?,würden sie bitte die tür verriegeln?,would you please lock the door ?,<sos> wurden sie bitte die tur verriegeln ?,wurden sie bitte die tur verriegeln ? <eos>,7,8
you are foolish to say such a thing.,"sie sind töricht, so etwas zu sagen.",you are foolish to say such a thing .,"<sos> sie sind toricht , so etwas zu sagen .","sie sind toricht , so etwas zu sagen . <eos>",9,10
apples are sold by the dozen.,äpfel werden dutzendweise verkauft.,apples are sold by the dozen .,<sos> apfel werden dutzendweise verkauft .,apfel werden dutzendweise verkauft . <eos>,7,6
it was a camera that she bought there.,sie hat sich dort einen fotoapparat gekauft.,it was a camera that she bought there .,<sos> sie hat sich dort einen fotoapparat gekauft .,sie hat sich dort einen fotoapparat gekauft . <eos>,9,9
she has a flower in her hand.,sie hat eine blume in ihrer hand.,she has a flower in her hand .,<sos> sie hat eine blume in ihrer hand .,sie hat eine blume in ihrer hand . <eos>,8,9
i tried to make sure that everyone had fun.,"ich versuchte zu erreichen, dass jeder spaß hatte.",i tried to make sure that everyone had fun .,"<sos> ich versuchte zu erreichen , dass jeder spa hatte .","ich versuchte zu erreichen , dass jeder spa hatte . <eos>",10,11
that's not true either.,das ist auch nicht wahr.,that is not true either .,<sos> das ist auch nicht wahr .,das ist auch nicht wahr . <eos>,6,7
tom found his glasses and put them on.,tom fand seine brille und setzte sie auf.,tom found his glasses and put them on .,<sos> tom fand seine brille und setzte sie auf .,tom fand seine brille und setzte sie auf . <eos>,9,10
tom left home at 2:30.,tom ging um halb drei von zu hause weg.,tom left home at 2:30 .,<sos> tom ging um halb drei von zu hause weg .,tom ging um halb drei von zu hause weg . <eos>,6,11
you don't understand.,sie verstehen nicht.,you do not understand .,<sos> sie verstehen nicht .,sie verstehen nicht . <eos>,5,5
i want you to promise me something.,"ich möchte, dass du mir etwas versprichst.",i want you to promise me something .,"<sos> ich mochte , dass du mir etwas versprichst .","ich mochte , dass du mir etwas versprichst . <eos>",8,10
we haven't made a decision yet.,wir haben noch keine entscheidung getroffen.,we have not made a decision yet .,<sos> wir haben noch keine entscheidung getroffen .,wir haben noch keine entscheidung getroffen . <eos>,8,8
i learned a lot from his books.,ich habe viel aus seinen büchern gelernt.,i learned a lot from his books .,<sos> ich habe viel aus seinen buchern gelernt .,ich habe viel aus seinen buchern gelernt . <eos>,8,9
i'm simply stating a fact.,ich führe nur eine tatsache an.,i am simply stating a fact .,<sos> ich fuhre nur eine tatsache an .,ich fuhre nur eine tatsache an . <eos>,7,8
no one has the right to treat you like this.,"niemand hat das recht, dich so zu behandeln.",no one has the right to treat you like this .,"<sos> niemand hat das recht , dich so zu behandeln .","niemand hat das recht , dich so zu behandeln . <eos>",11,11
he made up his mind to be a fireman.,"er entschloss sich, feuerwehrmann zu werden.",he made up his mind to be a fireman .,"<sos> er entschloss sich , feuerwehrmann zu werden .","er entschloss sich , feuerwehrmann zu werden . <eos>",10,9
the car has a new engine.,das auto hat einen neuen motor.,the car has a new engine .,<sos> das auto hat einen neuen motor .,das auto hat einen neuen motor . <eos>,7,8
tom gave mary a lift to the station.,tom hat mary zum bahnhof gefahren.,tom gave mary a lift to the station .,<sos> tom hat mary zum bahnhof gefahren .,tom hat mary zum bahnhof gefahren . <eos>,9,8
i've known you for years.,ich kenne dich seit jahren.,i have known you for years .,<sos> ich kenne dich seit jahren .,ich kenne dich seit jahren . <eos>,7,7
my daughter likes to play with dolls.,meine tochter spielt gerne mit puppen.,my daughter likes to play with dolls .,<sos> meine tochter spielt gerne mit puppen .,meine tochter spielt gerne mit puppen . <eos>,8,8
everyone in our class passed the exam.,alle in unserer klasse haben die prüfung bestanden.,everyone in our class passed the exam .,<sos> alle in unserer klasse haben die prufung bestanden .,alle in unserer klasse haben die prufung bestanden . <eos>,8,10
they all knew.,sie wussten alle bescheid.,they all knew .,<sos> sie wussten alle bescheid .,sie wussten alle bescheid . <eos>,4,6
take a bus.,fahre mit dem bus.,take a bus .,<sos> fahre mit dem bus .,fahre mit dem bus . <eos>,4,6
tom has lots of things to tell mary.,tom hat maria viel zu erzählen.,tom has lots of things to tell mary .,<sos> tom hat maria viel zu erzahlen .,tom hat maria viel zu erzahlen . <eos>,9,8
tom loves talking about politics.,tom spricht sehr gerne über politik.,tom loves talking about politics .,<sos> tom spricht sehr gerne uber politik .,tom spricht sehr gerne uber politik . <eos>,6,8
tom began running.,tom fing an zu rennen.,tom began running .,<sos> tom fing an zu rennen .,tom fing an zu rennen . <eos>,4,7
the tea is too strong. add some water.,der tee ist zu stark. fügen sie etwas wasser hinzu.,the tea is too strong . add some water .,<sos> der tee ist zu stark . fugen sie etwas wasser hinzu .,der tee ist zu stark . fugen sie etwas wasser hinzu . <eos>,10,13
put it on.,tu es drauf.,put it on .,<sos> tu es drauf .,tu es drauf . <eos>,4,5
tom had a very bad day.,tom hatte einen sehr schlechten tag.,tom had a very bad day .,<sos> tom hatte einen sehr schlechten tag .,tom hatte einen sehr schlechten tag . <eos>,7,8
read the instructions carefully.,lies dir die anleitung genau durch!,read the instructions carefully .,<sos> lies dir die anleitung genau durch !,lies dir die anleitung genau durch ! <eos>,5,8
tom promised he'd never be late again.,"tom versprach, dass er sich nie wieder verspäten würde.",tom promised he would never be late again .,"<sos> tom versprach , dass er sich nie wieder verspaten wurde .","tom versprach , dass er sich nie wieder verspaten wurde . <eos>",9,12
"could i get a japanese newspaper, please?",könnte ich wohl eine japanische zeitung bekommen?,"could i get a japanese newspaper , please ?",<sos> konnte ich wohl eine japanische zeitung bekommen ?,konnte ich wohl eine japanische zeitung bekommen ? <eos>,9,9
i'm looking forward to seeing tom.,"ich freue mich darauf, tom zu sehen.",i am looking forward to seeing tom .,"<sos> ich freue mich darauf , tom zu sehen .","ich freue mich darauf , tom zu sehen . <eos>",8,10
let tom finish what he started.,"lassen sie tom zu ende führen, was er begonnen hat.",let tom finish what he started .,"<sos> lassen sie tom zu ende fuhren , was er begonnen hat .","lassen sie tom zu ende fuhren , was er begonnen hat . <eos>",7,13
my aunt enjoyed good health all her life.,meine tante erfreute sich zeitlebens einer guten gesundheit.,my aunt enjoyed good health all her life .,<sos> meine tante erfreute sich zeitlebens einer guten gesundheit .,meine tante erfreute sich zeitlebens einer guten gesundheit . <eos>,9,10
he stopped looking for the pearl.,"er hörte auf, nach der perle zu suchen.",he stopped looking for the pearl .,"<sos> er horte auf , nach der perle zu suchen .","er horte auf , nach der perle zu suchen . <eos>",7,11
how much is this pen?,wie viel kostet dieser stift?,how much is this pen ?,<sos> wie viel kostet dieser stift ?,wie viel kostet dieser stift ? <eos>,6,7
she isn't afraid of death.,sie hat keine angst vor dem tod.,she is not afraid of death .,<sos> sie hat keine angst vor dem tod .,sie hat keine angst vor dem tod . <eos>,7,9
who broke the window? tell the truth.,wer hat die fensterscheibe kaputtgemacht? sag mir die wahrheit!,who broke the window ? tell the truth .,<sos> wer hat die fensterscheibe kaputtgemacht ? sag mir die wahrheit !,wer hat die fensterscheibe kaputtgemacht ? sag mir die wahrheit ! <eos>,9,12
"sadly, many japanese people died.",leider starben viele japaner.,"sadly , many japanese people died .",<sos> leider starben viele japaner .,leider starben viele japaner . <eos>,7,6
i think you should cut tom some slack.,"ich meine, du solltest mit tom etwas nachsichtiger sein.",i think you should cut tom some slack .,"<sos> ich meine , du solltest mit tom etwas nachsichtiger sein .","ich meine , du solltest mit tom etwas nachsichtiger sein . <eos>",9,12
tom was still wearing his costume.,tom war noch immer kostümiert.,tom was still wearing his costume .,<sos> tom war noch immer kostumiert .,tom war noch immer kostumiert . <eos>,7,7
i'll go swimming tomorrow.,morgen werde ich schwimmen gehen.,i will go swimming tomorrow .,<sos> morgen werde ich schwimmen gehen .,morgen werde ich schwimmen gehen . <eos>,6,7
i have a feeling you'll be a very good lawyer.,"ich habe es im gefühl, dass aus dir einmal ein guter anwalt wird.",i have a feeling you will be a very good lawyer .,"<sos> ich habe es im gefuhl , dass aus dir einmal ein guter anwalt wird .","ich habe es im gefuhl , dass aus dir einmal ein guter anwalt wird . <eos>",12,16
i saw tom the other day.,ich habe letztens tom gesehen.,i saw tom the other day .,<sos> ich habe letztens tom gesehen .,ich habe letztens tom gesehen . <eos>,7,7
that's tom's mother.,das ist toms mutter.,that is tom 's mother .,<sos> das ist toms mutter .,das ist toms mutter . <eos>,6,6
butter and cheese are made from milk.,butter und käse werden aus milch gemacht.,butter and cheese are made from milk .,<sos> butter und kase werden aus milch gemacht .,butter und kase werden aus milch gemacht . <eos>,8,9
this grocery store only sells organic food.,in diesem lebensmittelladen gibt es nur biokost.,this grocery store only sells organic food .,<sos> in diesem lebensmittelladen gibt es nur biokost .,in diesem lebensmittelladen gibt es nur biokost . <eos>,8,9
it's not likely to be hot tomorrow.,morgen ist es wahscheinlich nicht heiß.,it is not likely to be hot tomorrow .,<sos> morgen ist es wahscheinlich nicht hei .,morgen ist es wahscheinlich nicht hei . <eos>,9,8
you're all racists.,ihr seid alle rassisten.,you are all racists .,<sos> ihr seid alle rassisten .,ihr seid alle rassisten . <eos>,5,6
her mother is american.,ihre mutter ist amerikanerin.,her mother is american .,<sos> ihre mutter ist amerikanerin .,ihre mutter ist amerikanerin . <eos>,5,6
tom sits behind mary in french class.,tom sitzt in der französischstunde hinter maria.,tom sits behind mary in french class .,<sos> tom sitzt in der franzosischstunde hinter maria .,tom sitzt in der franzosischstunde hinter maria . <eos>,8,9
don't worry about the results.,macht euch keine sorgen über die ergebnisse.,do not worry about the results .,<sos> macht euch keine sorgen uber die ergebnisse .,macht euch keine sorgen uber die ergebnisse . <eos>,7,9
there was absolutely nothing you could do about it.,da war einfach nichts zu machen.,there was absolutely nothing you could do about it .,<sos> da war einfach nichts zu machen .,da war einfach nichts zu machen . <eos>,10,8
i wish i were a better french speaker.,"ich wünschte, ich könnte besser französisch!",i wish i were a better french speaker .,"<sos> ich wunschte , ich konnte besser franzosisch !","ich wunschte , ich konnte besser franzosisch ! <eos>",9,9
you must know yourself.,man muss sich selbst kennen.,you must know yourself .,<sos> man muss sich selbst kennen .,man muss sich selbst kennen . <eos>,5,7
i'll be outside if you need me.,"ich bin draußen, wenn du mich brauchst.",i will be outside if you need me .,"<sos> ich bin drauen , wenn du mich brauchst .","ich bin drauen , wenn du mich brauchst . <eos>",9,10
mary wrote her number on a piece of paper and handed it to tom.,maria schrieb ihre nummer auf ein blatt papier und gab es tom.,mary wrote her number on a piece of paper and handed it to tom .,<sos> maria schrieb ihre nummer auf ein blatt papier und gab es tom .,maria schrieb ihre nummer auf ein blatt papier und gab es tom . <eos>,15,14
is this your suitcase?,ist dieser koffer ihrer.,is this your suitcase ?,<sos> ist dieser koffer ihrer .,ist dieser koffer ihrer . <eos>,5,6
i have a lot of flowers.,ich habe viele blumen.,i have a lot of flowers .,<sos> ich habe viele blumen .,ich habe viele blumen . <eos>,7,6
tom saw mary sitting by herself on the bench next to the pond.,tom sah maria allein auf der bank am teich sitzen.,tom saw mary sitting by herself on the bench next to the pond .,<sos> tom sah maria allein auf der bank am teich sitzen .,tom sah maria allein auf der bank am teich sitzen . <eos>,14,12
the tea is boiling hot.,der tee ist kochend heiß.,the tea is boiling hot .,<sos> der tee ist kochend hei .,der tee ist kochend hei . <eos>,6,7
a big earthquake occurred in india yesterday.,gestern hat sich in indien ein großes erdbeben ereignet.,a big earthquake occurred in india yesterday .,<sos> gestern hat sich in indien ein groes erdbeben ereignet .,gestern hat sich in indien ein groes erdbeben ereignet . <eos>,8,11
this area suffers from a shortage of water.,in dieser gegend herrscht wassermangel.,this area suffers from a shortage of water .,<sos> in dieser gegend herrscht wassermangel .,in dieser gegend herrscht wassermangel . <eos>,9,7
